discipline_name,discipline_url,lab_name,lab_url,pic,experiment_name,experiment_url
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,"Analog Signals, Network and Measurement Lab",https://asnm-iitkgp.vlabs.ac.in/,IIT Kharagpur,Measurement of Self Inductance of High Quality Factor Coil by Hay's Bridge,https://asnm-iitkgp.vlabs.ac.in/exp/high-quality-factor-coil/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,"Analog Signals, Network and Measurement Lab",https://asnm-iitkgp.vlabs.ac.in/,IIT Kharagpur,To study the Kelvin Double Bridge for Low resistance measurement,https://asnm-iitkgp.vlabs.ac.in/exp/low-resistance-measurement/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,"Analog Signals, Network and Measurement Lab",https://asnm-iitkgp.vlabs.ac.in/,IIT Kharagpur,Measurement of Self Inductance by Maxwell's Bridge,https://asnm-iitkgp.vlabs.ac.in/exp/measurement-self-inductance/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,"Analog Signals, Network and Measurement Lab",https://asnm-iitkgp.vlabs.ac.in/,IIT Kharagpur,Q meter Experiment,https://asnm-iitkgp.vlabs.ac.in/exp/q-meter-experiment/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,"Analog Signals, Network and Measurement Lab",https://asnm-iitkgp.vlabs.ac.in/,IIT Kharagpur,Measurement of Capacitance by Wien Series Bridge,https://asnm-iitkgp.vlabs.ac.in/exp/wien-series-bridge/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,"Analog Signals, Network and Measurement Lab",https://asnm-iitkgp.vlabs.ac.in/,IIT Kharagpur,Measurement of Capacitance by De Sauty's (Modified) bridge,https://asnm-iitkgp.vlabs.ac.in/exp/de-sauty-bridge/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,"Analog Signals, Network and Measurement Lab",https://asnm-iitkgp.vlabs.ac.in/,IIT Kharagpur,Mesurement of Self Inductance by Owen Bridge,https://asnm-iitkgp.vlabs.ac.in/exp/owen-bridge/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,"Analog Signals, Network and Measurement Lab",https://asnm-iitkgp.vlabs.ac.in/,IIT Kharagpur,Measurement of Self-Inductance by Maxwell Bridge,https://asnm-iitkgp.vlabs.ac.in/exp/maxwell-bridge/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,"Analog Signals, Network and Measurement Lab",https://asnm-iitkgp.vlabs.ac.in/,IIT Kharagpur,Measurement of Capacitance by Schering Bridge,https://asnm-iitkgp.vlabs.ac.in/exp/schering-bridge/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,"Analog Signals, Network and Measurement Lab",https://asnm-iitkgp.vlabs.ac.in/,IIT Kharagpur,Measurement of Self Inductance accurately by Anderson's Bridge,https://asnm-iitkgp.vlabs.ac.in/exp/anderson-bridge/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,"Analog Signals, Network and Measurement Lab",https://asnm-iitkgp.vlabs.ac.in/,IIT Kharagpur,To determine the High Resistance by Megohm Bridge method,https://asnm-iitkgp.vlabs.ac.in/exp/megohm-bridge-method/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,"Analog Signals, Network and Measurement Lab",https://asnm-iitkgp.vlabs.ac.in/,IIT Kharagpur,To study the Wien Robinson's Frequency Bridge,https://asnm-iitkgp.vlabs.ac.in/exp/robinson-frequency-bridge/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Basic Electronics Lab,https://be-iitkgp.vlabs.ac.in/,IIT Kharagpur,Familiarisation with Resistor,https://be-iitkgp.vlabs.ac.in/exp/familiarisation-resistor/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Basic Electronics Lab,https://be-iitkgp.vlabs.ac.in/,IIT Kharagpur,Familiarisation with Capacitor,https://be-iitkgp.vlabs.ac.in/exp/familiarisation-capacitor/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Basic Electronics Lab,https://be-iitkgp.vlabs.ac.in/,IIT Kharagpur,Familiarisation with Inductor,https://be-iitkgp.vlabs.ac.in/exp/familiarisation-inductor/
